,state,id,city
0,Andaman and Nicobar Islands,29,Port Blair
1,Andhra Pradesh,123,Anantapur
2,Andhra Pradesh,113,Chittoor
3,Andhra Pradesh,130,Eluru
4,Andhra Pradesh,85,Guntur
5,Andhra Pradesh,8,Hyderabad
6,Andhra Pradesh,121,Kadapa
7,Andhra Pradesh,132,Kakinada
8,Andhra Pradesh,125,Kurnool
9,Andhra Pradesh,127,Machilipatnam
10,Andhra Pradesh,117,Nellore
11,Andhra Pradesh,126,Ongole
12,Andhra Pradesh,136,Srikakulam
13,Andhra Pradesh,134,Vizag
14,Andhra Pradesh,135,Vizianagaram
15,Arunachal Pradesh,20,Itanagar
16,Assam,138,Barpeta
17,Assam,147,Dibrugarh
18,Assam,143,Golaghat
19,Assam,18,Guwahati
20,Assam,144,Jorhat
21,Assam,141,Nagaon
22,Assam,140,Nalbari
23,Assam,146,Sibsagar
24,Assam,137,Silchar
25,Assam,142,Tezpur
26,Bihar,189,Araria
27,Bihar,207,Arrah
28,Bihar,150,Aurangabad
29,Bihar,180,Banka
30,Bihar,183,Begusarai
31,Bihar,202,Bettiah
32,Bihar,181,Bhagalpur
33,Bihar,176,Bihar Sharif
34,Bihar,205,Buxar
35,Bihar,204,Chapra
36,Bihar,193,Darbhanga
37,Bihar,151,Gaya
38,Bihar,199,Hajipur
39,Bihar,179,Jamui
40,Bihar,174,Jehanabad
41,Bihar,186,Katihar
42,Bihar,185,Khagaria
43,Bihar,188,Kishanganj
44,Bihar,182,Lakhisarai
45,Bihar,191,Madhepura
46,Bihar,195,Madhubani
47,Bihar,200,Motihari
48,Bihar,184,Munger
49,Bihar,198,Muzaffarpur
50,Bihar,175,Nawada
51,Bihar,27,Patna
52,Bihar,187,Purnia
53,Bihar,192,Samastipur
54,Bihar,152,Sasaram
55,Bihar,178,Sheikhpura
56,Bihar,197,Sheohar
57,Bihar,196,Sitamarhi
58,Bihar,203,Siwan
59,Bihar,190,Supaul
60,Chandigarh,15,Chandigarh
61,Chhattisgarh,265,Ambikapur
62,Chhattisgarh,562,Bijapur
63,Chhattisgarh,259,Bilaspur
64,Chhattisgarh,250,Dantewada
65,Chhattisgarh,252,Dhamtari
66,Chhattisgarh,254,Durg
67,Chhattisgarh,249,Jagdalpur
68,Chhattisgarh,261,Janjgir
69,Chhattisgarh,267,Jashpur
70,Chhattisgarh,251,Kanker
71,Chhattisgarh,258,Kawardha
72,Chhattisgarh,263,Korba
73,Chhattisgarh,257,Mahasamund
74,Chhattisgarh,664,Narayanpur
75,Chhattisgarh,262,Raigarh
76,Chhattisgarh,30,Raipur
77,Chhattisgarh,253,Rajnandgaon
78,Chhattisgarh,264,Surajpur
79,Dadra and Nagar Haveli,65,Silvassa
80,Daman and Diu,270,Daman
81,Delhi,2,Delhi
82,Delhi,40,Gurgaon
83,Delhi,657,Kanjhawala
84,Delhi,467,Preet Vihar
85,Delhi,463,Rajouri Garden
86,Delhi,465,Sadar Bazar
87,Delhi,473,Saket
88,Delhi,466,Shahdara
89,Delhi,462,Vasant Vihar
90,Goa,274,Margao
91,Goa,26,Panjim
92,Gujarat,10,Ahmedabad
93,Gujarat,296,Amreli
94,Gujarat,56,Anand
95,Gujarat,279,Bharuch
96,Gujarat,58,Bhavnagar
97,Gujarat,302,Bhuj
98,Gujarat,287,Dahod
99,Gujarat,36,Gandhinagar
100,Gujarat,283,Godhra
101,Gujarat,289,Himmatnagar
102,Gujarat,301,Jamnagar
103,Gujarat,298,Junagadh
104,Gujarat,282,Kheda
105,Gujarat,290,Mehsana
106,Gujarat,62,Navsari
107,Gujarat,291,Palanpur
108,Gujarat,293,Patan
109,Gujarat,299,Porbandar
110,Gujarat,52,Rajkot
111,Gujarat,51,Surat
112,Gujarat,294,Surendranagar
113,Gujarat,53,Vadodara
114,Haryana,12,Ambala
115,Haryana,319,Bhiwani
116,Haryana,68,Faridabad
117,Haryana,326,Fatehabad
118,Haryana,322,Hissar
119,Haryana,318,Jhajjar
120,Haryana,323,Jind
121,Haryana,327,Kaithal
122,Haryana,328,Karnal
123,Haryana,329,Kurukshetra
124,Haryana,314,Nuh
125,Haryana,315,Palwal
126,Haryana,332,Panchkula
127,Haryana,324,Panipat
128,Haryana,313,Rewari
129,Haryana,320,Rohtak
130,Haryana,325,Sirsa
131,Haryana,321,Sonepat
132,Haryana,330,Yamuna Nagar
133,Himachal Pradesh,337,Bilaspur
134,Himachal Pradesh,342,Chamba
135,Himachal Pradesh,338,Hamirpur
136,Himachal Pradesh,340,Kullu
137,Himachal Pradesh,339,Mandi
138,Himachal Pradesh,334,Nahan
139,Himachal Pradesh,33,Shimla
140,Himachal Pradesh,335,Solan
141,Himachal Pradesh,661,Una
142,Jammu and Kashmir,678,Anantnag
143,Jammu and Kashmir,671,Badgam
144,Jammu and Kashmir,677,Doda
145,Jammu and Kashmir,22,Jammu
146,Jammu and Kashmir,672,Kargil
147,Jammu and Kashmir,679,Kathua
148,Jammu and Kashmir,675,Kishtwar
149,Jammu and Kashmir,670,Kupwara
150,Jammu and Kashmir,668,Leh
151,Jammu and Kashmir,669,Poonch
152,Jammu and Kashmir,674,Rajauri
153,Jammu and Kashmir,676,Samba
154,Jammu and Kashmir,673,Shopian
155,Jammu and Kashmir,34,Srinagar
156,Jammu and Kashmir,680,Udhampur
157,Jharkhand,211,Bokaro
158,Jharkhand,219,Chaibasa
159,Jharkhand,217,Daltonganj
160,Jharkhand,208,Deoghar
161,Jharkhand,210,Dhanbad
162,Jharkhand,206,Dumka
163,Jharkhand,218,Garhwa
164,Jharkhand,209,Giridih
165,Jharkhand,201,Godda
166,Jharkhand,216,Gumla
167,Jharkhand,213,Hazaribagh
168,Jharkhand,220,Jamshedpur
169,Jharkhand,212,Koderma
170,Jharkhand,215,Lohardaga
171,Jharkhand,194,Pakur
172,Jharkhand,214,Ramgarh
173,Jharkhand,31,Ranchi
174,Jharkhand,307,Seraikela
175,Karnataka,349,Bagalkot
176,Karnataka,356,Ballari
177,Karnataka,576,Belgaum
178,Karnataka,6,Bengaluru
179,Karnataka,333,Bidar
180,Karnataka,422,Chamarajanagar
181,Karnataka,381,Chickmagaluru
182,Karnataka,391,Chikkaballapura
183,Karnataka,379,Chitradurga
184,Karnataka,378,Davangere
185,Karnataka,371,Dharwad
186,Karnataka,368,Gadag
187,Karnataka,577,Gulbarga
188,Karnataka,382,Hassan
189,Karnataka,377,Haveri
190,Karnataka,376,Karwar
191,Karnataka,411,Kolar
192,Karnataka,360,Koppal
193,Karnataka,419,Mandya
194,Karnataka,75,Mangalore
195,Karnataka,49,Mysore
196,Karnataka,344,Raichur
197,Karnataka,416,Ramanagara
198,Karnataka,380,Shimoga
199,Karnataka,390,Tumakuru
200,Karnataka,383,Udupi
201,Karnataka,343,Yadgir
202,Kerala,171,Alappuzha
203,Kerala,164,Kakkanad
204,Kerala,145,Kalpetta
205,Kerala,139,Kannur
206,Kerala,133,Kasaragod
207,Kerala,166,Kollam
208,Kerala,168,Kottayam
209,Kerala,148,Kozhikode
210,Kerala,149,Malappuram
211,Kerala,153,Palakkad
212,Kerala,665,Pandakkal
213,Kerala,177,Pathanamthitta
214,Kerala,154,Thrissur
215,Kerala,35,Trivandrum
216,Madhya Pradesh,526,Alirajpur
217,Madhya Pradesh,530,Ashoknagar
218,Madhya Pradesh,521,Balaghat
219,Madhya Pradesh,525,Barwani
220,Madhya Pradesh,513,Betul
221,Madhya Pradesh,432,Bhind
222,Madhya Pradesh,13,Bhopal
223,Madhya Pradesh,522,Burhanpur
224,Madhya Pradesh,454,Chhatarpur
225,Madhya Pradesh,516,Chhindwara
226,Madhya Pradesh,477,Damoh
227,Madhya Pradesh,437,Datia
228,Madhya Pradesh,531,Dewas
229,Madhya Pradesh,528,Dhar
230,Madhya Pradesh,461,Dindori
231,Madhya Pradesh,452,Guna
232,Madhya Pradesh,48,Gwalior
233,Madhya Pradesh,510,Harda
234,Madhya Pradesh,508,Hoshangabad
235,Madhya Pradesh,46,Indore
236,Madhya Pradesh,472,Jabalpur
237,Madhya Pradesh,527,Jhabua
238,Madhya Pradesh,470,Katni
239,Madhya Pradesh,523,Khandwa
240,Madhya Pradesh,524,Khargone
241,Madhya Pradesh,468,Mandla
242,Madhya Pradesh,533,Mandsaur
243,Madhya Pradesh,434,Morena
244,Madhya Pradesh,497,Narsinghpur
245,Madhya Pradesh,532,Neemuch
246,Madhya Pradesh,455,Panna
247,Madhya Pradesh,502,Raisen
248,Madhya Pradesh,536,Rajgarh
249,Madhya Pradesh,534,Ratlam
250,Madhya Pradesh,457,Rewa
251,Madhya Pradesh,481,Sagar
252,Madhya Pradesh,456,Satna
253,Madhya Pradesh,505,Sehore
254,Madhya Pradesh,518,Seoni
255,Madhya Pradesh,460,Shahdol
256,Madhya Pradesh,535,Shajapur
257,Madhya Pradesh,449,Sheopur
258,Madhya Pradesh,440,Shivpuri
259,Madhya Pradesh,458,Sidhi
260,Madhya Pradesh,459,Singrauli
261,Madhya Pradesh,453,Tikamgarh
262,Madhya Pradesh,47,Ujjain
263,Madhya Pradesh,483,Umaria
264,Madhya Pradesh,499,Vidisha
265,Maharashtra,351,Ahmednagar
266,Maharashtra,365,Akola
267,Maharashtra,370,Alibag
268,Maharashtra,366,Amravati
269,Maharashtra,362,Aurangabad
270,Maharashtra,352,Beed
271,Maharashtra,386,Bhandara
272,Maharashtra,364,Buldhana
273,Maharashtra,387,Chandrapur
274,Maharashtra,369,Dhule
275,Maharashtra,388,Gadchiroli
276,Maharashtra,389,Gondia
277,Maharashtra,359,Hingoli
278,Maharashtra,367,Jalgaon
279,Maharashtra,363,Jalna
280,Maharashtra,78,Kolhapur
281,Maharashtra,83,Latur
282,Maharashtra,3,Mumbai
283,Maharashtra,76,Nagpur
284,Maharashtra,357,Nanded
285,Maharashtra,662,Nandurbar
286,Maharashtra,372,Nashik
287,Maharashtra,42,Navi Mumbai
288,Maharashtra,354,Osmanabad
289,Maharashtra,358,Parbhani
290,Maharashtra,81,Pimpri
291,Maharashtra,7,Pune
292,Maharashtra,346,Ratnagiri
293,Maharashtra,348,Sangli
294,Maharashtra,350,Satara
295,Maharashtra,353,Solapur
296,Maharashtra,41,Thane
297,Maharashtra,374,Wardha
298,Maharashtra,361,Washim
299,Manipur,19,Imphal
300,Meghalaya,119,Jowai
301,Meghalaya,114,Nongstoin
302,Meghalaya,32,Shillong
303,Meghalaya,111,Tura
304,Mizoram,11,Aizwal
305,Nagaland,107,Dimapur
306,Nagaland,24,Kohima
307,Odisha,94,Angul
308,Odisha,96,Balangir
309,Odisha,102,Balasore
310,Odisha,97,Bargarh
311,Odisha,104,Baripada
312,Odisha,101,Bhadrak
313,Odisha,90,Bhawanipatna
314,Odisha,14,Bhubhaneswar
315,Odisha,92,Cuttack
316,Odisha,93,Dhenkanal
317,Odisha,88,Gajapati
318,Odisha,99,Jharsuguda
319,Odisha,103,Kendujhar
320,Odisha,87,Koraput
321,Odisha,86,Malkangiri
322,Odisha,84,Nayagarh
323,Odisha,95,Phulbani
324,Odisha,91,Puri
325,Odisha,89,Rayagada
326,Odisha,98,Sambalpur
327,Odisha,100,Sundargarh
328,Pondicherry,28,Pondicherry
329,Puducherry,106,Karaikal
330,Puducherry,105,Yanam
331,Punjab,159,Amritsar
332,Punjab,120,Barnala
333,Punjab,109,Bathinda
334,Punjab,115,Faridkot
335,Punjab,110,Fazilka
336,Punjab,118,Firozpur
337,Punjab,160,Gurdaspur
338,Punjab,158,Hoshiarpur
